model,dataset,trainer_configuration,fold,test_setting,row_type,case_id,source_case_id,patient_id,series_id,contrast_label,contrast,segment,n_cases,volume_ml,DSC,IoU,HD95_mm,ASSD_mm,volume_error_pct,precision,recall,relative_volume_error_pct,TP,FP,FN,TN,n_pred,n_ref,prediction_file,reference_file,summary_file
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0188,,,,,UNKNOWN,liver,,NA,0.9554297393,0.9146629721,NA,NA,3.1592479,0.9407997402,0.9705219363,3.1592479,909743,57246,27632,22893251,966989,937375,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0188.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0188.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0191,,,,,UNKNOWN,liver,,NA,0.9537258277,0.9115448446,NA,NA,1.336985022,0.947434358,0.9601014135,1.336985022,254857,14140,10591,4439004,268997,265448,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0191.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0191.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0195,,,,,UNKNOWN,liver,,NA,0.9679900393,0.9379657911,NA,NA,-0.6799495586,0.9713034911,0.9646991173,-0.6799495586,478129,14126,17496,15218889,492255,495625,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0195.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0195.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0197,,,,,UNKNOWN,liver,,NA,0.9546261768,0.9131912007,NA,NA,7.727899054,0.9203859531,0.9915124504,7.727899054,635382,54961,5439,15229466,690343,640821,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0197.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0197.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0202,,,,,UNKNOWN,liver,,NA,0.9246002807,0.8597735931,NA,NA,0.03800277052,0.9244246606,0.9247759675,0.03800277052,301747,24669,24545,4515087,326416,326292,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0202.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0202.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0205,,,,,UNKNOWN,liver,,NA,0.9451961662,0.8960871547,NA,NA,-3.043861655,0.9600330111,0.9308109344,-3.043861655,513009,21357,38133,14762925,534366,551142,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0205.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0205.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0209,,,,,UNKNOWN,liver,,NA,0.9344376012,0.8769431074,NA,NA,1.905610729,0.9257007205,0.9433409728,1.905610729,88908,7136,5340,3093496,96044,94248,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0209.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0209.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0211,,,,,UNKNOWN,liver,,NA,0.9511834013,0.9069110868,NA,NA,-2.84950297,0.9651328921,0.9376314017,-2.84950297,91871,3319,6111,3093579,95190,97982,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0211.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0211.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0213,,,,,UNKNOWN,liver,,NA,0.9705310599,0.9427492391,NA,NA,0.7401636151,0.9669656906,0.9741228188,0.7401636151,580133,19819,15411,14720061,599952,595544,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0213.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0213.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0220,,,,,UNKNOWN,liver,,NA,0.9541299511,0.912283464,NA,NA,-1.48395999,0.9613160432,0.9470504978,-1.48395999,799590,32176,44705,14458953,831766,844295,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0220.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0220.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
